,arc_L_segment,end_end_dist_2_segment,file_label,file_path,frame_numer,max_arc_l,Arc_win_rgn_A,Arc_win_rgn_B,avg_arc_l_win_fil_1,avg_arc_l_win_fil_2,fil_label,Arc_win_size,max_arc_L_segment,E_bend_arr_kBT,Mean_Curvature_segment,Std_Curvature_segment,E_bend_filament_kBT,L_p,L_p_std,R_sq_fit,L_P_dist,mean_pt_curv_for_dist
36,"[7.91,15.82,23.73,31.64,39.55]","[60.30,238.57,496.26,837.81,1283.08]",S_1,/Users/yogehs/Downloads/SbcC/S/1/19.csv,18.0,79.34744819719353,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.10,0.48,0.22,0.03,0.04]","[0.03,0.06,0.04,0.02,0.02]","[0.01,0.01,0.02,0.00,0.00]",0.8546,30.81,0.849483282672762,1.0,2393.269,0.03336297025192505
37,"[7.87,15.73,23.60,31.46,39.33]","[60.43,243.37,531.87,915.47,1422.72]",S_1,/Users/yogehs/Downloads/SbcC/S/1/19.csv,18.0,79.34744819719353,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.16,0.53,0.38,0.01,0.00]","[0.02,-0.04,-0.04,-0.01,-0.00]","[0.01,0.02,0.02,0.00,0.00]",1.0884,74.668,2.8651511593657872,1.0,1029.743,-0.015658820340983773
38,"[8.19,16.38,24.57,32.76,40.95]","[63.13,256.88,558.95,961.69,1418.97]",S_1,/Users/yogehs/Downloads/SbcC/S/1/20.csv,19.0,82.03884907796113,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.14,0.24,0.23,0.13,0.21]","[0.03,0.04,0.04,0.03,0.04]","[0.00,0.00,0.00,0.00,0.00]",0.9507,41.331,1.997827658310003,1.0,46476.422,0.03336720871646165
39,"[8.12,16.24,24.37,32.49,40.61]","[65.24,258.72,571.29,972.92,1458.54]",S_1,/Users/yogehs/Downloads/SbcC/S/1/20.csv,19.0,82.03884907796113,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.07,0.22,0.46,0.11,0.03]","[0.02,-0.03,-0.04,-0.02,-0.01]","[0.02,0.01,0.01,0.00,0.00]",0.8827,56.796,3.657831778966572,1.0,1472.768,-0.015605044522599148
40,"[8.43,16.86,25.30,33.73,42.16]","[68.60,253.75,536.23,914.58,1403.32]",S_1,/Users/yogehs/Downloads/SbcC/S/1/21.csv,20.0,84.41664108399581,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.45,0.43,0.11,0.04,0.01]","[0.06,0.06,0.03,0.02,0.01]","[0.01,0.01,0.01,0.00,0.00]",1.0481,26.77,0.9329852070526321,0.999,1956.501,0.03445938484081956
41,"[8.36,16.72,25.07,33.43,41.79]","[69.43,276.99,623.14,1070.88,1607.56]",S_1,/Users/yogehs/Downloads/SbcC/S/1/21.csv,20.0,84.41664108399581,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.01,0.01,0.29,0.42,0.11]","[-0.01,-0.01,-0.03,-0.03,-0.02]","[0.00,0.00,0.01,0.01,0.00]",0.8456,92.518,10.952514592087706,0.999,5425.262,-0.015909821724479876
42,"[8.57,17.14,25.72,34.29,42.86]","[72.08,271.15,580.18,980.60,1446.51]",S_1,/Users/yogehs/Downloads/SbcC/S/1/22.csv,21.0,85.7294768527004,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.32,0.30,0.15,0.11,0.06]","[0.05,0.05,0.04,0.03,0.02]","[0.00,0.00,0.00,0.00,0.00]",0.9481,28.652,0.5347924157180873,1.0,7676.809,0.036107837929395176
43,"[8.49,16.97,25.46,33.94,42.43]","[71.19,284.27,637.21,1102.07,1670.00]",S_1,/Users/yogehs/Downloads/SbcC/S/1/22.csv,21.0,85.7294768527004,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.00,0.06,0.29,0.34,0.09]","[0.00,-0.01,-0.03,-0.03,-0.01]","[0.01,0.00,0.01,0.00,0.00]",0.7825,100.467,8.597109860066945,1.0,6527.699,-0.015050084764956187
44,"[8.26,16.51,24.77,33.02,41.28]","[64.30,253.34,541.59,910.24,1356.83]",S_1,/Users/yogehs/Downloads/SbcC/S/1/23.csv,22.0,82.62164230477228,0.0,0.5,0.25,0.75,fil1,0.5,41.45408920894599,"[0.30,0.31,0.16,0.10,0.05]","[0.05,0.05,0.04,0.03,0.02]","[0.00,0.00,0.00,0.00,0.00]",0.9235,28.754,0.4162954882829562,1.0,6087.449,0.03576655492445069
45,"[8.18,16.36,24.54,32.72,40.90]","[66.06,264.85,595.93,1050.19,1619.90]",S_1,/Users/yogehs/Downloads/SbcC/S/1/23.csv,22.0,82.62164230477228,0.5,1.0,0.75,0.25,fil2,0.5,41.45408920894599,"[0.04,0.12,0.08,0.16,0.06]","[-0.01,-0.01,-0.01,-0.01,-0.01]","[0.01,0.01,0.01,0.00,0.00]",0.4718,226.973,15.705151387472716,1.0,21500.244,-0.009796621313085922
